epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,433.507,0.60731,0.40543,0.98068,0.96201,0.99746,0.989,0.8227,0.67503,0.36393,1.02328,0.000709809,0.000709809,0.000709809
60,440.037,0.60861,0.40258,0.98636,0.98627,0.9807,0.99118,0.80725,0.74324,0.35534,1.07911,0.000693305,0.000693305,0.000693305
61,446.579,0.60009,0.39086,0.97208,0.96858,0.98624,0.98117,0.81609,0.71351,0.36433,1.07553,0.000676802,0.000676802,0.000676802
62,453.159,0.59889,0.39424,0.98144,0.93943,0.99541,0.98758,0.8334,0.67522,0.36063,1.0255,0.000660299,0.000660299,0.000660299
63,459.722,0.5953,0.40563,0.96856,0.89362,0.98679,0.98462,0.82293,0.67675,0.42622,1.01989,0.000643795,0.000643795,0.000643795
64,466.26,0.59694,0.40116,0.98044,0.97109,0.98189,0.98987,0.81043,0.69372,0.3515,1.04101,0.000627292,0.000627292,0.000627292
65,472.848,0.58316,0.37803,0.97276,0.97088,0.95895,0.9857,0.82649,0.63097,0.38148,0.99414,0.000610789,0.000610789,0.000610789
66,479.381,0.58303,0.37243,0.96837,0.97576,0.99147,0.99105,0.83019,0.66278,0.33411,1.01595,0.000594286,0.000594286,0.000594286
67,485.954,0.59588,0.38356,0.96939,0.89852,0.94184,0.96793,0.79597,0.69209,0.46986,1.03246,0.000577782,0.000577782,0.000577782
68,492.521,0.57729,0.37371,0.96251,0.97304,0.99023,0.98746,0.83027,0.69694,0.34865,1.02798,0.000561279,0.000561279,0.000561279
69,499.091,0.56083,0.36767,0.9562,0.97996,0.9913,0.98376,0.8309,0.63894,0.32913,1.01238,0.000544776,0.000544776,0.000544776
70,505.676,0.57906,0.37661,0.9596,0.97069,0.98672,0.98918,0.82081,0.66836,0.35275,1.03599,0.000528272,0.000528272,0.000528272
71,512.23,0.5653,0.37154,0.95756,0.97278,0.97218,0.98062,0.8208,0.65643,0.3533,1.01636,0.000511769,0.000511769,0.000511769
72,518.839,0.57101,0.37339,0.96487,0.9583,0.86744,0.95851,0.78611,0.7421,0.58887,1.05342,0.000495266,0.000495266,0.000495266
73,525.384,0.54972,0.36389,0.9518,0.92541,0.89928,0.97889,0.80059,0.72542,0.48162,1.06038,0.000478762,0.000478762,0.000478762
